condition,seed,test_accuracy,test_macro_f1,val_macro_f1,train_seconds,peak_memory_mb,trainable_params
baseline_en,42,0.874,0.873987,,,,
baseline_de,42,0.818,0.817877,,,,
monolingual_en,42,0.92,0.919995,,101.477599,2532.236328,109483778.0
multilingual_in_language_en,42,0.872,0.871795,,115.890475,3419.11084,177854978.0
monolingual_de,42,0.886,0.885714,0.905801,108.6844,2546.486328,109929218.0
monolingual_de,43,0.894,0.893847,0.903778,108.6844,2546.486328,109929218.0
monolingual_de,44,0.898,0.897996,0.915999,108.6844,2546.486328,109929218.0
multilingual_in_language_de,42,0.844,0.843509,0.832644,115.529994,3419.11084,177854978.0
multilingual_in_language_de,43,0.846,0.845822,0.859494,115.529994,3419.11084,177854978.0
multilingual_in_language_de,44,0.816,0.814931,0.837714,115.529994,3419.11084,177854978.0
multilingual_zero_shot_transfer,42,0.792,0.786535,0.865879,115.080577,3419.11084,177854978.0
multilingual_zero_shot_transfer,43,0.744,0.730476,0.835712,115.080577,3419.11084,177854978.0
multilingual_zero_shot_transfer,44,0.748,0.735183,0.84692,115.080577,3419.11084,177854978.0
